"Electricity statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2015",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2016",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2017",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2018",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2019",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2020",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2021",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2022",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2023",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","All","2024",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2015",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2016",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2022",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2023",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2024",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2015",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2016",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2017",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2018",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2019",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2020",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2021",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2022",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2023",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","All","2024",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2015",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2016",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2017",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2018",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2019",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2021",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2022",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2023",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2015",11214.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2016",11973.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2017",12250.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2018",12816.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2019",13220.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2020",13532.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2021",13878.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2022",15237.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2023",16137.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","All","2024",17523.90
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2015",11214.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2016",11973.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",12250.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",12816.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",13220.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",13532.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",13878.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2022",15237.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2023",16137.00
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2024",17523.90
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2015",26964.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2016",30930.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2017",31511.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2018",33468.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2019",32873.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2020",35761.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2021",37293.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2022",39474.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2023",40506.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","All","2024",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2015",26964.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2016",30930.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",31511.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",33468.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",32873.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",35761.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",37293.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2022",39474.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2023",40506.00
"Canada","Onshore wind energy","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2015",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2016",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2017",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2018",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2019",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2020",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2021",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2022",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2023",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","All","2024",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2015",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2016",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2022",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2023",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2024",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2015",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2016",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2017",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2018",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2019",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2020",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2021",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2022",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2023",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","All","2024",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2015",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2016",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2022",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2023",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2021",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2022",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2023",-
"Canada","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2024",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2015",79231.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2016",80130.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2017",80657.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2018",81396.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2019",81396.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2020",81209.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2021",82893.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2022",83498.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2023",83498.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","All","2024",83498.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2015",79231.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2016",80130.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2017",80657.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2018",81396.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2019",81396.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2020",81209.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2021",82893.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2022",83498.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2023",83498.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2024",83498.00
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2015",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2016",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2017",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2018",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2019",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2021",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2022",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2023",-
"Canada","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2024",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2015",382155.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2016",385394.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2017",394548.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2018",385856.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2019",381732.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2020",386506.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2021",382391.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2022",397686.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2023",360699.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","All","2024",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2015",382155.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2016",385394.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2017",394548.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2018",385856.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2019",381732.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2020",386506.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2021",382391.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2022",397686.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2023",360699.00
"Canada","Renewable hydropower","Electricity Generation (GWh)","On-grid","2024",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2015",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2016",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2017",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2018",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2019",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2020",-
"Canada","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2021",-
